benchmark,time,kwh,watts,cycles,instructions,r532010,r538010,cache-references,cache-misses
sleep3,2,0.0,45.15,834711,555506,0,8,13213,302
sleep4,3,0.0,45.3666666667,840183,559390,0,8,12287,306
sleep5,4,0.0,45.175,840691,567209,0,6,13275,288
sleep6,5,0.0,45.46,845192,567059,0,7,12865,375
sleep7,6,0.0,45.6,837681,560498,0,7,12445,457
sleep8,7,0.0,45.3857142857,846070,558843,0,8,12426,327
sleep9,8,0.0001,45.55,876338,569695,0,6,13199,483
sleep10,9,0.0001,45.6666666667,836845,568588,0,6,13392,447
sleep11,10,0.0001,45.51,833802,552810,0,8,12387,357
sleep12,11,0.0001,45.5454545455,844435,565339,0,9,13405,662
sleep13,12,0.0001,45.5,840360,560095,0,8,13090,537
sleep14,13,0.0001,45.1076923077,845239,570864,0,8,12122,474
sleep15,14,0.0001,45.0071428571,846353,561382,0,8,12277,408
sleep16,15,0.0001,45.2466666667,871885,567797,0,8,13312,508
sleep17,16,0.0002,45.2125,840974,561111,0,8,13158,859
sleep18,17,0.0002,45.3294117647,854726,570784,0,8,13181,1058
sleep19,18,0.0002,45.5666666667,846943,562752,0,8,12107,453
sleep20,19,0.0002,45.4210526316,852398,564985,0,8,13194,666
sleep21,20,0.0002,45.675,850069,566408,0,7,13043,448
sleep22,21,0.0002,45.5714285714,844679,561861,0,9,12360,519
sleep23,22,0.0002,45.4727272727,846819,562086,0,8,12032,472
sleep24,23,0.0003,45.5782608696,843321,564085,0,8,13439,434
sleep25,24,0.0003,45.4125,839515,558812,0,7,13506,594
sleep26,25,0.0003,45.768,860075,565380,0,8,12130,460
sleep27,26,0.0003,45.6769230769,849608,569392,0,8,13074,527
sleep28,27,0.0003,45.5111111111,845943,564586,0,8,13246,554
sleep29,28,0.0003,45.7321428571,841608,560953,0,8,14611,556
sleep30,29,0.0003,45.9965517241,852417,563670,0,8,13268,520
sleep31,30,0.0003,45.72,854283,564816,0,8,13078,540
sleep32,31,0.0003,45.8419354839,848100,554608,0,8,13211,563
sleep33,32,0.0004,45.959375,856535,561609,0,7,12291,621
sleep34,33,0.0004,45.6757575758,846324,562767,0,8,12394,1102
sleep35,34,0.0004,45.5676470588,852192,561613,0,8,12994,561
sleep36,35,0.0004,45.84,855351,560766,0,6,13302,859
sleep37,36,0.0004,45.7333333333,882609,581933,0,8,13118,749
sleep38,37,0.0004,45.727027027,856823,567461,0,7,13149,538
sleep39,38,0.0004,45.7815789474,861009,568650,0,8,12340,614
sleep40,39,0.0004,45.7871794872,861942,591728,0,8,13206,715
sleep41,40,0.0005,45.9,889723,593455,0,8,13149,854
sleep42,41,0.0005,45.956097561,856975,591481,0,8,13349,810
sleep43,42,0.0005,45.8404761905,865789,594741,0,8,13858,621
sleep44,43,0.0005,46.0674418605,872792,593694,0,8,13254,756
sleep45,44,0.0005,46.1022727273,858290,588821,0,9,11926,717
sleep46,45,0.0005,45.8733333333,871129,591320,0,9,13051,863
sleep47,46,0.0005,46.1652173913,881693,595032,0,7,13762,672
sleep48,47,0.0005,45.9319148936,875661,590903,0,8,12437,907
sleep49,48,0.0006,46.1395833333,868490,593363,0,8,13442,618
sleep50,49,0.0006,46.012244898,861717,586442,0,8,13180,965
sleep51,50,0.0006,46.028,866798,588833,0,8,13294,987
sleep52,51,0.0006,46.0529411765,862410,579349,0,8,13111,618
sleep53,52,0.0006,46.0307692308,866888,597539,0,7,13323,794
sleep54,53,0.0006,46.0075471698,865287,586544,0,8,13496,697
sleep55,54,0.0006,46.1222222222,868828,587305,0,6,13317,761
sleep56,55,0.0006,46.1545454545,858274,584311,0,7,13893,755
sleep57,56,0.0007,45.9696428571,875620,589403,0,6,13294,714
sleep58,57,0.0007,45.9736842105,864127,578517,0,8,12314,739
sleep59,58,0.0007,46.0086206897,868138,584631,0,8,13307,833
sleep60,59,0.0007,45.9983050847,874709,585151,0,9,13064,930
sleep2,1,0.0,44.4,834729,565344,0,8,13447,267
sleep3,2,0.0,44.65,838643,567843,0,6,12225,304
sleep4,3,0.0,44.7333333333,847850,565381,0,8,13302,330
sleep5,4,0.0,44.8,835983,565671,0,7,13206,349
sleep6,5,0.0,44.88,842711,566156,0,8,12961,311
sleep7,6,0.0,44.8,843266,565817,0,8,13586,399
sleep8,7,0.0,45.3142857143,840691,559698,0,6,13457,345
sleep9,8,0.0001,44.925,839753,555588,0,8,13372,312
sleep10,9,0.0001,45.1333333333,848966,568373,0,8,12698,394
sleep11,10,0.0001,45.04,858364,564090,0,8,12094,465
sleep12,11,0.0001,45.2454545455,847576,560460,0,8,13114,404
sleep13,12,0.0001,45.2333333333,844074,569063,0,8,14102,359
sleep14,13,0.0001,45.5076923077,881159,569658,0,8,12166,401
sleep15,14,0.0001,45.5285714286,842547,564259,0,8,13499,438
sleep16,15,0.0002,45.6666666667,845395,563016,0,8,13132,407
sleep17,16,0.0002,45.3125,858659,556060,0,8,13313,495
sleep18,17,0.0002,45.6411764706,844470,561998,0,8,12205,397
sleep19,18,0.0002,45.3388888889,847329,563866,0,8,13083,483
sleep20,19,0.0002,45.6052631579,849695,564786,0,9,13563,529
sleep21,20,0.0002,45.5,850215,568564,0,9,13222,540
sleep22,21,0.0002,45.680952381,842858,567637,0,8,13301,761
sleep23,22,0.0002,45.6454545455,845034,564951,0,8,12143,502
sleep24,23,0.0002,45.4956521739,853220,567517,0,9,13226,434
sleep25,24,0.0003,45.5541666667,836575,552100,0,8,13112,606
sleep26,25,0.0003,45.508,862174,571810,0,7,13174,568
sleep27,26,0.0003,45.7538461538,859325,566723,0,8,12154,469
sleep28,27,0.0003,45.8925925926,850820,564186,0,8,13085,717
sleep29,28,0.0003,45.8785714286,848735,565428,0,8,14220,740
sleep30,29,0.0003,45.8068965517,840266,549852,0,8,13356,623
sleep31,30,0.0003,45.85,847934,563882,0,7,12354,648
sleep32,31,0.0004,45.9032258065,852819,560544,0,8,13134,497
sleep33,32,0.0004,46.065625,853141,566216,0,8,13276,938
sleep34,33,0.0004,46.0393939394,872385,581170,0,8,12381,780
sleep35,34,0.0004,45.6882352941,884292,563609,0,8,13130,650
sleep36,35,0.0004,46.0514285714,848255,560265,0,7,13362,632
sleep37,36,0.0004,45.9694444444,847213,569404,0,8,12264,704
sleep38,37,0.0004,45.8567567568,850280,561521,0,7,13897,703
sleep39,38,0.0004,46.0473684211,847852,564180,0,6,13125,832
sleep40,39,0.0004,45.8512820513,863020,571273,0,8,12365,925
sleep41,40,0.0005,46.155,849821,572621,0,9,13334,708
sleep42,41,0.0005,46.0073170732,859195,583029,0,8,13410,763
sleep43,42,0.0005,46.0023809524,865312,588201,0,6,12221,604
sleep44,43,0.0005,45.8395348837,864751,591100,0,6,12908,739
sleep45,44,0.0005,45.8386363636,861439,583454,0,8,13814,496
sleep46,45,0.0005,45.9555555556,856171,589557,0,8,12334,773
sleep47,46,0.0005,45.8369565217,890073,593419,0,9,13468,747
sleep48,47,0.0005,45.9617021277,872143,591787,0,7,13238,765
sleep49,48,0.0006,46.05625,875772,590580,0,8,13111,589
sleep50,49,0.0006,46.1,880516,591643,0,7,13331,732
sleep51,50,0.0006,45.996,866728,592229,0,8,12339,764
sleep52,51,0.0006,45.8647058824,874438,590702,0,8,12451,792
sleep53,52,0.0006,46.1346153846,869428,591414,0,8,13194,844
sleep54,53,0.0006,46.0283018868,862702,587733,0,6,12229,815
sleep55,54,0.0006,46.0833333333,866023,594167,0,8,13153,653
sleep56,55,0.0006,46.0527272727,866015,586817,0,9,13793,677
sleep57,56,0.0007,46.3089285714,868661,593231,0,6,12370,745
sleep58,57,0.0007,46.2403508772,891868,583654,0,8,13145,903
sleep59,58,0.0007,46.2086206897,863734,589871,0,8,13158,729
sleep60,59,0.0007,46.0288135593,860436,589922,0,6,12181,728
