bench,watts,kwh,exit,error,cycles,instructions,r533f00,cache-references,cache-misses,seconds
swaptions,339.671318,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,338.757364,0.000403,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,338.140000,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,338.303077,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,338.589231,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,339.365116,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,340.019231,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,340.327692,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,339.854264,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
swaptions,339.666923,0.000407,0,0,6512.088659,14321745013,15644314819,5719827773,4046504000,426879,6.519331951
freqmine,338.633333,0.000067,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,338.457143,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,338.052381,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,338.247619,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,337.976190,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,337.742857,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,337.676190,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,337.728571,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,337.623810,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
freqmine,339.247619,0.000063,0,705087491700,23978.924290,52747332435,92997876911,3085919729,24347373727,60164155,24.004571219
swaptions,339.330534,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,340.106870,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,339.853030,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,339.565649,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,338.741221,0.000410,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,338.580303,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,338.309848,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,338.326718,0.000410,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,339.526515,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
swaptions,339.712121,0.000413,0,0,6624.184814,14572726322,15776413686,5760200189,4084405662,2822160,6.631599329
bzip2,333.033333,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.100000,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,332.500000,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.133333,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.233333,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.400000,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.566667,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,334.400000,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.100000,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
bzip2,333.700000,0.000010,0,0,189.949903,409244436,655705836,7174,140115235,16378,0.190887809
fluidanimate,342.117949,0.000247,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
